Order,Milestone,Ticket ID,Title,Objective,In Scope,Out of Scope,Dependencies,Priority,Size,Status,Owner,Started,Completed,Acceptance Criteria,Expected Tests,Manual Verification,Notes
10,M1 — Foundation,T1.5,Streamlit navigation shell,Create the application navigation and empty page shells.,Jobs; Background Runs; Settings; consistent page title and error boundary.,Functional controls or data tables.,"T1.1,T1.2",P0,S,TODO,,,,All three pages are reachable and the app starts without data.,Streamlit smoke test where practical.,Navigate through every page.,
11,M2 — Job management,T2.1,Job database model,Create the jobs table with the agreed fields and constraints.,Company; title; UK/FR/CH; EN/FR; source; URL; JD; editable date; notes; decision; application fields.,"Assessments, CVs or contacts.",T1.4,P0,M,TODO,,,,Migration creates the table; enums/constraints are enforced; timestamps update correctly.,Model and migration tests.,Create a job directly through a test script.,
12,M2 — Job management,T2.2,Job repository service,Implement CRUD operations without coupling them to Streamlit.,Create; read; update; list; delete; basic query filters.,Assessment-staleness logic.,T2.1,P0,S,TODO,,,,CRUD operations work and transactions roll back on failure.,Repository integration tests.,"Create, edit and delete a sample job.",
13,M2 — Job management,T2.3,Add-job form,Create the job-entry form with agreed defaults and validation.,LinkedIn default; current date default but editable; required company/title/JD; location/language choices.,URL parsing or automated JD extraction.,"T1.5,T2.2",P0,S,TODO,,,,A valid job saves; missing required fields show useful messages; defaults are correct.,Form validation tests where practical.,Add jobs from LinkedIn and company-site sources.,
14,M2 — Job management,T2.4,Edit-job form,Allow jobs to be edited without automatically launching assessment.,All job fields; editable date added; save/cancel actions.,Stale-assessment warning.,T2.3,P0,S,TODO,,,,Edits persist and no assessment task is created.,Repository/update tests.,Edit the JD and confirm no background task starts.,
15,M2 — Job management,T2.5,Initial Jobs dashboard table,Display stored jobs in the primary application table.,Core columns; row selection; sorting; open Job Details.,"Assessment, CV and KPI columns that depend on later tables.","T1.5,T2.2",P0,M,TODO,,,,Rows reflect the database and selected rows can be identified reliably.,Query and table-shaping tests.,Add several jobs and sort/select them.,
16,M2 — Job management,T2.6,Jobs dashboard filters,Add the agreed filters without changing underlying records.,Text search; location; language; source; user decision; free-text application status.,Saved filter presets.,T2.5,P1,S,TODO,,,,Filters can be combined and cleared; results are correct.,Query/filter tests.,Test combinations across at least five sample jobs.,
17,M3 — Reference assets,T3.1,Reference-asset database model,"Store metadata for documents, prompts, templates and French examples.",Asset type; version; local path; active flag; hash; processing status; OpenAI IDs; dates.,OpenAI upload logic.,T1.4,P0,M,TODO,,,,One active asset per single-instance type is enforceable; multiple French examples are supported.,Model and migration tests.,Insert current and inactive versions.,
18,M3 — Reference assets,T3.2,DOCX validation and local storage,Validate and store uploaded reference DOCX files safely.,Extension and file checks; immutable versioned filename; hashing; duplicate detection.,OpenAI indexing or template parsing.,"T1.3,T3.1",P0,M,TODO,,,,Valid DOCX files are stored; invalid/corrupt files are rejected; duplicates are detected.,"Unit tests with valid, invalid and duplicate fixtures.",Upload each supported asset type.,
19,M3 — Reference assets,T3.3,Prompt storage and editing,"Store the assessment prompt, four English CV prompts and two additional French prompts.",Text editing; ordered pipeline position; versions; activation.,Prompt execution.,T3.1,P0,M,TODO,,,,"Prompts can be created, edited and activated; French prompts are ordered after English prompts.",Repository and ordering tests.,Edit a prompt and confirm a new version becomes active.,
20,M3 — Reference assets,T3.4,Settings asset overview,Show the currently active reference inputs and their status.,Filename/name; version; upload date; processing status; replace/edit actions.,OpenAI indexing controls.,"T1.5,T3.1,T3.2,T3.3",P0,M,TODO,,,,All required asset categories are visible and missing required assets are obvious.,UI data-shaping tests where practical.,Open Settings on an empty and populated database.,
21,M3 — Reference assets,T3.5,Replace active local asset,Allow a new local asset version without deleting prior local metadata.,Upload; version assignment; active/inactive switch after local validation.,OpenAI vector-store lifecycle.,"T3.2,T3.4",P0,S,TODO,,,,The prior asset remains available as inactive metadata and the new local file is active only after validation.,Integration tests for replacement and rollback on failure.,Replace Document A with a test copy.,
22,M3 — Reference assets,T3.6,OpenAI file upload service,Upload authorised DOCX files to OpenAI and persist returned identifiers.,Client wrapper; retries; errors; user_data purpose or current recommended equivalent.,Vector-store creation or model calls.,"T1.2,T3.2",P0,M,TODO,,,,A DOCX can be uploaded and its file ID is stored; failures are recoverable.,Mocked unit tests plus an opt-in integration test.,Upload a small test DOCX using a development API key.,
23,M3 — Reference assets,T3.7,Document B vector-store lifecycle,Create and activate a vector store for each new Document B version.,Attach file; poll indexing; validation search; activation; prior store inactive.,Automatic deletion of old stores.,"T3.5,T3.6",P0,M,TODO,,,,A new store is activated only when the file status is completed and validation succeeds.,Mocked lifecycle tests; optional OpenAI integration test.,Upload a new B version and confirm old metadata remains inactive.,
24,M3 — Reference assets,T3.8,Inactive vector-store cleanup,Provide an explicit cleanup action for inactive OpenAI stores and files.,List inactive stores; confirmation; delete association/store; retain local DOCX and metadata.,Automatic timed deletion.,T3.7,P1,S,TODO,,,,The user can delete an inactive remote store without affecting the active version.,Mocked deletion tests.,Delete a test inactive store and confirm the active store remains usable.,
25,M3 — Reference assets,T3.9,Document B heading extraction,Extract the Word heading hierarchy and section content for deterministic routing.,Heading styles; numbered-heading fallback; section IDs; ordered text; version reference.,Semantic relevance ranking.,T3.2,P0,M,TODO,,,,Known sections can be retrieved by stable IDs and ordering matches the DOCX.,Unit tests with representative heading/table fixtures.,Inspect extracted sections for several B headings.,
26,M3 — Reference assets,T3.10,Full Document A input preparation,Prepare the active Document A as complete authorised context for assessment calls.,Active-file lookup; upload/file reference; local fallback text extraction; version metadata.,Splitting or semantic retrieval of Document A.,"T3.5,T3.6",P0,S,TODO,,,,The context builder always references the complete active Document A and records its version.,Unit tests for missing/inactive asset handling.,Preview the assembled A context metadata.,
27,M4 — Background processing,T4.1,Background-task database model,Persist queued work and its lifecycle.,Job; operation; status; batch ID; timestamps; retry count; error; payload metadata.,Worker execution.,"T1.4,T2.1",P0,M,TODO,,,,Tasks and batches can be created and queried; status transitions are constrained.,Model and transition tests.,Create a batch with several dummy tasks.,
28,M4 — Background processing,T4.2,Sequential worker process,Process queued tasks one at a time by default outside Streamlit request execution.,Polling loop; handler registry; clean shutdown; one worker.,Assessment or CV business logic.,T4.1,P0,M,TODO,,,,Dummy tasks move from pending to completed sequentially and Streamlit remains responsive.,Worker integration tests with dummy handlers.,Queue tasks with delays and observe order.,
29,M4 — Background processing,T4.3,Worker recovery and interruption,Make abandoned running tasks recoverable after a crash or restart.,Startup scan; INTERRUPTED state; retry action; idempotency guard.,Automatic resume inside a partially completed model call.,T4.2,P0,S,TODO,,,,A simulated crash leaves no permanently running task and interrupted work can be retried.,Recovery integration tests.,Terminate the worker during a dummy task and restart.,
30,M4 — Background processing,T4.4,Background Runs screen,Display task and batch progress with useful errors and retry actions.,Operation; job; batch; status; start/end; error; retry; filters.,Cancellation of an already running OpenAI call.,"T1.5,T4.1",P0,M,TODO,,,,The screen updates and a failed task can be retried without affecting completed tasks.,UI query tests where practical.,Run a mixed successful/failed dummy batch.,
31,M4 — Background processing,T4.5,Configurable concurrency,Permit controlled parallel task execution while keeping one worker as the default.,Assessment and CV worker-count settings; upper-bound validation; separate DB sessions.,Distributed workers or remote queues.,"T1.2,T4.2",P1,M,TODO,,,,Worker count 1 is sequential; a higher valid value processes tasks concurrently without DB errors.,Concurrency integration tests with dummy handlers.,Compare execution time with worker count 1 and 2.,
32,M4 — Background processing,T4.6,LLM-call usage table,"Persist token usage, duration and response metadata for every OpenAI call.",Operation; pipeline step; model; input/cached/output/total tokens; duration; status; response ID.,Dashboard presentation.,"T1.4,T4.1",P0,M,TODO,,,,Successful and failed calls can be recorded and aggregated by job and operation.,"Model, repository and aggregation tests.",Insert sample calls and inspect totals.,
33,M5 — Assessment,T5.1,Assessment database model,Store one current structured assessment per job.,Visible fields; internal Document B handover; versions; stale source timestamp; error.,Historical assessment versions.,"T2.1,T3.1,T4.1",P0,M,TODO,,,,Migration creates the model and completed/failed results can be persisted.,Model and repository tests.,Insert a complete sample assessment.,
34,M5 — Assessment,T5.2,Assessment structured-output schema,Define and validate the exact model response contract.,Summary; role family; decision; fit; interview range; signals; risks; lane; evidence; constraints.,Prompt wording.,T5.1,P0,S,TODO,,,,Valid examples parse and invalid ranges/enums fail with clear errors.,Pydantic unit tests.,Validate a saved example from a prior assessment.,
35,M5 — Assessment,T5.3,Assessment context builder,Assemble the authorised assessment request from the complete Document A and job information.,Assessment prompt; full A; company/title/location/language; full JD; schema; version metadata.,Document B content or CV wording.,"T3.3,T3.10,T5.2",P0,M,TODO,,,,The request contains the full active A and no B content; missing assets stop the task clearly.,Snapshot/unit tests for context composition.,Inspect a rendered request without sending it.,
36,M5 — Assessment,T5.4,Single OpenAI assessment call,Run and validate one assessment through the OpenAI Responses API.,Client call; structured output; bounded retry; token/time capture.,Batch selection or persistence.,"T3.6,T4.6,T5.3",P0,M,TODO,,,,One representative JD returns a valid assessment or a useful failure record.,Mocked client tests and opt-in integration test.,Assess one historical job and inspect usage.,
37,M5 — Assessment,T5.5,Assessment persistence service,Save successful results and failures atomically against the job.,Current-result replacement; versions; timestamps; failure details.,Historical result retention.,"T5.1,T5.4",P0,S,TODO,,,,A completed result replaces the current result only after validation; failure does not erase a prior valid result.,"Integration tests for success, failure and reassessment.",Reassess a sample job with a forced failure.,
38,M5 — Assessment,T5.6,Assessment worker handler,Connect queued assessment tasks to the assessment service.,Task payload; status updates; independent failure; usage records.,Dashboard batch action.,"T4.2,T5.5",P0,S,TODO,,,,Queued assessment tasks complete independently and update task/job state correctly.,Worker integration tests.,Queue two assessments with one deliberate failure.,
39,M5 — Assessment,T5.7,Assess selected jobs action,Queue assessments for multiple selected dashboard rows in one click.,Eligibility checks; confirmation; one task per job; batch ID.,Automatic selection based on score.,"T2.5,T5.6",P0,S,TODO,,,,Selected eligible jobs are queued once and unselected jobs are untouched.,Action/service tests.,Select three rows and start one batch.,
40,M5 — Assessment,T5.8,Reassess selected jobs action,Allow completed or failed jobs to be reassessed in one batch.,Manual selection; current valid result retained until replacement succeeds.,Automatic reassessment after editing.,"T5.5,T5.7",P0,S,TODO,,,,Multiple assessed jobs can be relaunched and failures preserve prior valid results.,Integration tests for mixed reassessment outcomes.,Reassess several historical jobs.,
41,M5 — Assessment,T5.9,Stale-assessment detection,Flag an assessment when assessment-relevant job fields change.,Company; title; location; language; JD; source timestamp comparison.,Automatic reassessment or staleness for URL/source/notes only.,"T2.4,T5.1",P0,S,TODO,,,,Relevant edits set stale; non-relevant edits do not; the existing assessment remains accessible.,Unit tests for each field.,"Edit notes, then edit the JD and compare indicators.",
42,M5 — Assessment,T5.10,Assessment detail tab,Display the complete assessment and internal CV handover data.,All visible fields; evidence anchors; gaps; recommended lane; versions; stale warning.,Editing model-produced assessment text.,"T1.5,T5.5",P0,M,TODO,,,,The tab shows current data and clearly distinguishes model output from user choices.,View-model tests where practical.,"Open assessed, failed and stale jobs.",
43,M5 — Assessment,T5.11,User application decision,Record the user's decision independently of the model recommendation.,Undecided; Pursue; Do not pursue; notes.,Automatic decision from fit score.,"T2.1,T5.10",P0,S,TODO,,,,The user decision persists and the model decision remains unchanged and visible.,Repository/update tests.,Set and change each decision value.,
44,M5 — Assessment,T5.12,CV lane selection,Allow the user to confirm or change the recommended Document B lane.,Recommended lane display; selected lane; optional secondary angle.,Free-form invention of unsupported lanes.,"T5.10,T5.11",P0,S,TODO,,,,The selected lane defaults to the recommendation and can be changed before generation.,Validation tests against configured lanes.,Choose a different lane and reopen the job.,
45,M5 — Assessment,T5.13,Select for CV generation,Mark one or more pursued jobs as ready for CV generation.,Dashboard batch action; explicit status; eligibility and missing-assessment warnings.,Starting generation automatically.,"T5.7,T5.11,T5.12",P0,S,TODO,,,,Eligible jobs receive the selected status; ineligible jobs return clear messages.,Action/service tests.,Select a mix of eligible and ineligible rows.,
46,M6 — Dashboard and KPIs,T6.1,Assessment columns on Jobs dashboard,Add assessment state and decision information to the primary table.,Assessment status; decision; fit score; interview probability; stale indicator.,Detailed assessment text.,"T2.5,T5.9",P0,M,TODO,,,,Columns show current values and remain sortable/filterable.,Query/view-model tests.,Compare table values with Job Details.,
47,M6 — Dashboard and KPIs,T6.2,CV and application columns on Jobs dashboard,Reserve and populate workflow columns needed for later stages.,CV status; source; direct open action placeholder; user decision; free-text status; next action.,DOCX opening implementation.,"T2.5,T5.13",P0,S,TODO,,,,Columns display existing state and handle missing CV/application data cleanly.,View-model tests.,Inspect rows at different workflow stages.,
48,M6 — Dashboard and KPIs,T6.3,Workflow-volume KPI cards,Show simple counts above the Jobs table.,Jobs entered; jobs assessed; CVs generated; CVs uploaded; CVs approved.,Charts or trends.,"T5.5,T6.2",P1,S,TODO,,,,Counts use agreed definitions and update after data changes.,Aggregation tests.,Create sample records and compare manual counts.,
49,M6 — Dashboard and KPIs,T6.4,Token and time KPI cards,Show assessment and CV usage totals and averages.,Total/average tokens; total/average duration; successful jobs only for averages; separate operations.,Cost estimation or currency conversion.,T4.6,P1,M,TODO,,,,Aggregations are correct and no divide-by-zero errors occur.,Aggregation tests with mixed success/failure calls.,Compare KPI values with LLM-call rows.,
50,M6 — Dashboard and KPIs,T6.5,Failed-task KPI,Show the number of failed tasks requiring attention and link to Background Runs.,Assessment and CV failures; clickable navigation/filter.,Automatic retries.,T4.4,P1,XS,TODO,,,,The count matches retryable failed tasks and opens the relevant filtered screen.,Aggregation/navigation tests where practical.,Create a failed dummy task and use the card.,
51,M7 — English CV generation,T7.1,Document B lane-to-section configuration,Create deterministic configuration mapping each CV lane to required Document B sections.,Fixed sections; primary lane; optional secondary lane; evidence-related section references.,Model-selected arbitrary section routing.,"T3.9,T5.12",P0,M,TODO,,,,Every supported lane resolves to an explicit ordered section set.,Configuration completeness tests.,"Inspect mappings for architecture, deployment and Head of Data.",
52,M7 — English CV generation,T7.2,Document B supplementary retrieval,"Add optional semantic retrieval that supplements, but never replaces, deterministic sections.",Queries from JD/evidence gaps; top chunks; source metadata; deduplication.,Using retrieval to choose the primary lane or omit mandatory sections.,"T3.7,T7.1",P1,M,TODO,,,,Mandatory sections are always present and supplementary chunks are traceable.,Mocked retrieval and deduplication tests.,Review retrieved context for two unlike jobs.,
53,M7 — English CV generation,T7.3,CV context builder,Assemble the complete CV-generation packet.,JD; assessment; selected lane; fixed B rules; routed sections; supplementary passages; versions.,French references or template formatting.,"T5.12,T7.1,T7.2",P0,M,TODO,,,,"Context is reproducible, authorised and contains no unrelated lane by default.",Snapshot/unit tests.,Preview packets for primary-only and primary+secondary lanes.,
54,M7 — English CV generation,T7.4,Generic ordered prompt-pipeline engine,Run configured prompt stages sequentially with persisted intermediate outputs.,Stage order; prior output input; retries; status; model/usage metadata; restart from failed step.,English prompt content itself.,"T3.3,T4.1,T4.6",P0,M,TODO,,,,"A dummy multi-stage pipeline completes, fails and restarts from the failed stage correctly.",Pipeline integration tests with fake handlers.,Run a three-stage dummy pipeline.,
55,M7 — English CV generation,T7.5,English pipeline stage 1,Implement the first existing CV-generation prompt exactly as configured.,Context injection; output persistence; usage capture.,Later prompt stages or DOCX generation.,"T7.3,T7.4",P0,S,TODO,,,,Stage 1 runs for one job and its full output is stored.,Mocked model-call tests; opt-in integration test.,Compare output with the current manual Phase 1.,
56,M7 — English CV generation,T7.6,English pipeline stage 2,Implement the second configured English CV prompt using stage 1 output.,Ordered input; persistence; usage; failure handling.,Stages 3 and 4.,T7.5,P0,S,TODO,,,,Stage 2 receives the approved stage 1 output and stores its result.,Pipeline-stage tests.,Inspect the request and response for one job.,
57,M7 — English CV generation,T7.7,English pipeline stage 3,Implement the third configured English CV prompt.,Ordered input; persistence; usage; failure handling.,Stage 4 or DOCX rendering.,T7.6,P0,S,TODO,,,,Stage 3 runs only after stage 2 and can be retried independently.,Pipeline-stage tests.,Force a failure and retry only stage 3.,
58,M7 — English CV generation,T7.8,English pipeline stage 4,Implement the final English critique/rewrite prompt.,Ordered input; final text; usage; anti-overclaiming output.,French adaptation or template rendering.,T7.7,P0,S,TODO,,,,A complete English pipeline produces the final approved-for-rendering content.,Pipeline-stage tests.,Compare the final output with a manual four-step example.,
59,M7 — English CV generation,T7.9,Final structured-CV schema,Define the fields required by the Word templates and validate final model output.,Headline; profile; skills; employer blocks; bullets; independent work; education; additional information.,Word formatting rules.,T7.8,P0,M,TODO,,,,Representative final outputs parse without losing content and required fields are enforced.,Pydantic schema tests.,Convert one prior final CV into the schema.,
60,M7 — English CV generation,T7.10,English template placeholder mapping,Inspect the actual English template and document the structured-field mapping.,Paragraphs; tables; placeholders/content controls; repeatable bullet areas; fixed text.,Rendering code.,"T3.2,T7.9",P0,M,TODO,,,,Every generated field has a target and all fixed content is identified.,Template fixture/inspection tests where practical.,Review the mapping against the Word template.,
61,M7 — English CV generation,T7.11,English DOCX renderer,Populate a copy of the English template while preserving formatting.,Text replacement; bullet insertion; optional sections; local output.,Editing inside Streamlit or PDF conversion.,"T7.9,T7.10",P0,M,TODO,,,,A valid DOCX opens in Word and matches the template layout without unresolved placeholders.,Document-generation tests and XML/package validation.,Open the generated CV and visually inspect both pages.,
62,M7 — English CV generation,T7.12,Generated filename and folder rules,Save every generated CV in one configured folder using the agreed naming convention.,resume - Daniel Brule - YYYY-MM-DD - Company.docx; Windows sanitisation; collision suffix.,Subfolders by company or keeping Word version history.,"T1.2,T1.3,T7.11",P0,S,TODO,,,,"Names are deterministic, valid on Windows and collisions do not overwrite files silently.",Unit tests for invalid characters and collisions.,Generate twice for a company containing special characters.,
63,M7 — English CV generation,T7.13,CV database model and generation metadata,Store the active CV file and its generation state against the job.,Source; status; language; path; lane; versions; approval date; errors.,Multiple active CV versions per job.,"T1.4,T7.12",P0,M,TODO,,,,A generated CV record links to an existing file and captures all relevant versions.,Model/repository tests.,Inspect a generated CV record.,
64,M7 — English CV generation,T7.14,CV generation worker handler,Connect a queued CV task to the full English pipeline and renderer.,Pipeline; structured validation; rendering; task and CV statuses; independent failures.,Dashboard batch action.,"T4.2,T7.8,T7.11,T7.13",P0,M,TODO,,,,One queued job reaches READY_FOR_REVIEW with a DOCX or a clear failed state.,End-to-end service test with mocked OpenAI.,Queue one English CV and inspect the file.,
65,M7 — English CV generation,T7.15,Generate selected CVs action,Queue CV generation for multiple selected eligible jobs in one click.,Eligibility; selected status; one task per job; batch ID; confirmation.,Parallelism beyond configured worker count.,"T5.13,T7.14",P0,S,TODO,,,,Eligible selected rows are queued and one failure does not block others.,Action and batch tests.,Generate CVs for several selected jobs.,
66,M7 — English CV generation,T7.16,Regenerate selected CVs,Allow one or more generated/failed CVs to be relaunched manually.,Full restart option; overwrite active generated file only after success; collision handling.,Word version history.,T7.15,P0,S,TODO,,,,Prior usable file remains until replacement succeeds and several rows can be relaunched.,Integration tests for successful and failed regeneration.,"Regenerate two CVs, forcing one failure.",
67,M8 — CV review and upload,T8.1,Upload an existing CV,Associate a user-provided DOCX with a job instead of generating one.,DOCX validation; copy to uploaded folder; source UPLOADED; READY_FOR_REVIEW.,Parsing or rewriting the uploaded CV.,"T3.2,T7.13",P0,S,TODO,,,,A valid DOCX is linked to the job and an invalid file is rejected.,Upload-service tests.,Upload an existing CV and reopen the job.,
68,M8 — CV review and upload,T8.2,CV tab in Job Details,Show the active CV and the correct generate/upload/review actions.,Source; status; filename/path; generation errors; upload; regenerate; open; approve.,In-app Word-like editor or file history.,"T5.10,T7.13,T8.1",P0,M,TODO,,,,Available actions match the job/CV state and no invalid transition is offered.,State/view-model tests.,"Walk through no-CV, generated, uploaded, failed and approved states.",
69,M8 — CV review and upload,T8.3,Open CV from Job Details,Open the associated DOCX using the Windows default application.,Path validation; OS launch; useful missing-file error.,Embedding Microsoft Word in Streamlit.,T8.2,P0,XS,TODO,,,,The correct file opens and missing files do not crash the app.,Unit test for path checks; OS call mocked.,Click Open CV on a local Windows machine.,
70,M8 — CV review and upload,T8.4,Open CV from Jobs dashboard,Provide a direct Open CV action in the main table.,Visible action when a file exists; reuse secure path-opening service.,Inline editing.,"T6.2,T8.3",P0,S,TODO,,,,The dashboard opens the correct CV without entering Job Details.,View/action tests where practical.,Open generated and uploaded CVs from separate rows.,
71,M8 — CV review and upload,T8.5,Approve CV,Allow the user to mark the Word-reviewed file as approved.,Approval button; confirmation; date; status; optional review note.,Verifying whether the file was actually edited in Word.,T8.2,P0,S,TODO,,,,"Approval is explicit, persists and is visible on dashboard and details.",State-transition tests.,Approve a CV and confirm the KPI/status changes.,
72,M9 — French generation,T9.1,French-reference indexing,Make prior French CVs available as style and terminology references.,Versioned files; vector store or searchable collection; source metadata.,Treating reference CV claims as evidence.,"T3.2,T3.6,T3.7",P1,M,TODO,,,,Relevant passages can be retrieved and are clearly labelled as style references only.,Mocked retrieval tests.,Search for French profile and education phrasing.,
73,M9 — French generation,T9.2,French adaptation context builder,Prepare the first additional French step after the complete English pipeline.,English final output; French prompt 1; French examples; French template conventions; evidence-preservation rules.,Replacing the four English stages.,"T7.8,T9.1",P0,M,TODO,,,,The French context always starts from final English content and preserves metrics and evidence.,Snapshot/unit tests.,Inspect the context for one French job.,
74,M9 — French generation,T9.3,French adaptation stage,Run the first additional French prompt.,Language adaptation; terminology; country/location conventions; output persistence and usage.,Final French review.,"T7.4,T9.2",P0,S,TODO,,,,A complete French draft is produced after English stage 4.,Pipeline-stage tests.,Compare with a literal translation and French references.,
75,M9 — French generation,T9.4,French review and rewrite stage,Run the second additional French prompt to review and rewrite the adaptation.,Natural French; anti-overclaiming; consistency; final output persistence.,DOCX rendering.,T9.3,P0,S,TODO,,,,The final French output is internally consistent and follows the same evidence as English.,Pipeline-stage tests.,Review metrics and employment facts against English output.,
76,M9 — French generation,T9.5,French structured-output validation,Validate that final French content fits the common CV schema and preserves factual anchors.,Schema parse; number/date/name consistency checks; language-specific labels.,Advanced translation-quality scoring.,"T7.9,T9.4",P0,M,TODO,,,,"Changed metrics, dates or employer names are detected before rendering.",Schema and cross-language consistency tests.,Introduce a deliberate metric change and confirm rejection.,
77,M9 — French generation,T9.6,French template mapping and renderer,Populate the French DOCX template using the validated final French output.,Template mapping; fixed French text; common output folder and naming convention.,PDF export.,"T7.12,T9.5",P0,M,TODO,,,,The French DOCX opens correctly and contains no English-template remnants.,Document-generation tests.,Open and visually compare with previous French CVs.,
78,M9 — French generation,T9.7,French CV worker integration,Route FR jobs through four English stages plus the two French stages and French renderer.,Language dispatch; task states; usage aggregation across all six stages.,Skipping English generation for French jobs.,"T7.14,T9.6",P0,S,TODO,,,,A queued FR job completes all six stages and reaches READY_FOR_REVIEW.,End-to-end mocked pipeline test.,Generate one French CV and inspect Background Runs.,
79,M10 — Application tracking,T10.1,Contact database model,Support multiple contacts per job.,Name; title; LinkedIn; interview date; notes; timestamps.,Separate interview-event history.,"T1.4,T2.1",P1,S,TODO,,,,A job can have several contacts and deleting a job handles contacts safely.,Model/repository tests.,Add two contacts to one job.,
80,M10 — Application tracking,T10.2,Contact management UI,"Add, edit and delete contacts over time in the Application tab.",Contact table; form; validation; LinkedIn link.,Contact import or email integration.,"T10.1,T5.10",P1,M,TODO,,,,Multiple contacts can be maintained and changes persist.,Repository and UI-state tests.,Add and edit contacts with different interview dates.,
81,M10 — Application tracking,T10.3,Application fields UI,Edit the basic application record from Job Details.,Free-text status; application date; next action/date; salary; notes; closure reason.,Fixed company-specific interview-stage enum or work-authorisation field.,"T2.1,T5.10",P0,M,TODO,,,,All fields save independently and free-text status accepts company-specific wording.,Repository/update tests.,Record several different company processes.,
82,M10 — Application tracking,T10.4,Application columns and filters,Expose basic application tracking on the Jobs dashboard.,Status; next action; next-action date; filters and sorting.,Calendar integration or reminders.,"T6.2,T10.3",P1,S,TODO,,,,Dashboard values match Job Details and free-text statuses remain filterable.,Query/view-model tests.,Filter jobs by several custom statuses.,
